,index,name,cnt,unit,gram,cal,carbs,protein,fat,sugar,salt
222,559,보리개떡,1,개,33,50,0,0,0,0,0
223,677,유채김치,1,소접시,60,17,6.06,2.1,0.48,0,0
224,986,[풀무원] 퓨렘로스구이,1,인분,40,68,0,0,0,0,0
225,405,단팥죽,1,인분,300,367,78.24,12.88,1.16,21.96,367
226,527,인절미 콩고물,1,개,17,36,0,0,0,0,0
227,173,[동원] 쎈쿡찰진밥,1,인분,210,300,69,6,0,0,0
228,99,[오뚜기] 맛있는김치참치덮밥,1,개,340,425,0,0,0,0,0
229,153,옥수수밥,1,공기,85,293,77.84,6.1,0.47,0,0
230,996,삼치양념구이,1,토막,98,170,9,14.78,5.26,0,0
231,88,[CJ] 인도치킨커리덮밥,1,인분,340,450,261.97,60.86,26.52,0.0,0
232,605,[오뚜기] 1000아일랜드드레싱,1,회분,100,362,13,1,35,0,0
233,589,마요네즈,1,큰술,18,126,0.46,0.38,14.18,0,0
234,697,무말랭이오징어무침,1,소접시,75,128,18.45,10.79,3.13,0,0
235,632,[CJ] 쇠고기다시다,1,인분,1,4,0.5,0.2,0.1,0,222.8
236,764,대구포무침,1,소접시,30,93,4.52,12.52,2.77,0,0
237,443,[화과방] 청둥호박죽,1,인분,280,170,34.3,8.2,0,0,0
238,814,피스타치오 조미한것,1,종지,13,74,0,0,0,0,0
239,566,모시송편,1,개,50,60,13.08,0.95,0.41,4.33,3
240,622,[CJ] 프레시안스파게티소스 미트,1,종지,20,17,3.66,0.59,0,0,0
241,904,부추어묵,1,개,30,35,3,3,1.1,0,0
242,448,[오뚜기] 삼계죽,1,인분,285,160,31,7,1.1,0,380
243,204,쇠고기미역국,1,인분,200,177,16,15,6.7,0.7,681
244,879,새송이버섯볶음,1,인분,205,297,9.37,4.02,28.83,0,0
245,373,추어탕,1,인분,300,194,3.54,26.52,8.01,1,1202
246,203,참치김치국,1,대접,100,41,2.49,5.42,0.69,0,0
247,700,고구마줄기무침,1,소접시,100,61,9.4,1.1,2.5,1.8,677
248,495,[오뚜기] 옛날 쇠고기죽,1,봉,85,315,65,8,2.8,2,1210
249,613,[오뚜기] 후레시마요네즈,1,회분,100,730,1,1,80,0,0
250,720,파강회,1,접시,74,27,9.7,7.47,3.79,0,0
251,672,파김치,1,소접시,15,18,4,1.2,0.2,0,302
252,250,두부찌개,1,인분,300,297,7.1,20.9,20.3,1.9,582
253,946,햄구이,1,쪽,40,52,2.36,6.6,1.68,0,0
254,286,계란파국,1,대접,52,80,2.38,5.27,4.77,0,0
255,757,파래무생채,1,소접시,83,26,5.5,1.94,0.74,0,739.3
256,498,[서울마님죽] 단팥죽,1,팩,500,475,95,20,2.5,20,800
257,449,[CJ] 송이버섯죽,1,인분,315,145,0,0,0,0,0
258,625,양념치킨소스,1,큰술,15,34,7.3,0.6,0.25,0,0
259,109,[한솥도시락] 육개장도시락,1,인분,400,636,0,0,0,0,0
260,600,카레가루,1,티스푼,6,20,3.66,0.8,0.87,0.17,3
261,388,닭매운탕,1,대접,146,183,0,0,0,0,0
262,178,고구마밥,1,공기,210,312,75.28,5.12,0.16,0,0
263,284,다시멸치미역국,1,소대접,250,16,2.34,3.58,0.84,0,0
264,335,어묵김치찌개,0.5,인분,355,140,18.1,9.6,4.5,16.9,1041
265,983,돼지어깨등심 구운것,1,토막,45,135,0,10.49,9.63,0,0
266,116,[GS25] 유부초밥과알참치김밥,1,개,210,344,53,8,12,0,0
267,927,칠면조볶음,1,소접시,119,143,6.78,14.57,5.09,0,0
268,421,단호박죽,1,대접,310,261,49.14,6.01,0.54,0,0
269,944,[예맛] 맥주용 안주김,1,회분,1,10,0.25,0,1,0,0
270,958,훈제계란,1,개,60,88,0.68,7.49,6.04,0.46,198
